scientificName,n_records,latitude_median,elevation_median,lat_q05,lat_q95,lat_range_q05_q95,elev_q05,elev_q95,elev_range_q05_q95,bio4_detrended_median,bio4_detrended_q05,bio4_detrended_q95,bio4_detrended_range_q05_q95,median_doy_clean,global_lat_alpha,global_lat_beta,expected_doy_at_median_lat,lat_standardized_doy_index,start_lat,start_doy,lat_beta,elev_beta,hopkins_lat_slope,hopkins_elev_slope,lat_r2,lat_elev_r2,hopkins_lat_elev_rmse
Corylus avellana,1582,52.6584169261,145.86864255479315,44.316933675,57.16547907359,12.848545398589998,9.93244916395092,579.4547662641442,569.5223171001933,-504.5795453741157,-807.9133569857174,-140.21600986007493,667.6973471256425,100,53.24371658323815,1.1194930128859681,112.19444640164329,-12.19444640164329,52.6584169261,89.87866718442106,3.263833128547353,0.06226732478723961,4,0.03278688524590164,0.13835591678294812,0.22875972093397134,30.687484374757698
Corylus cornuta,688,44.76438216,166.85784142563355,37.34174720962,51.999704697035,14.657957487414997,20.90836985731632,732.7535332616092,711.8451634042929,-223.84128872994188,-670.4535222765518,86.74255086325749,757.1960731398093,108,53.24371658323815,1.1194930128859681,103.35712963751543,4.642870362484572,44.76438216,104.41095343749625,3.914118278001297,0.020255029039460783,4,0.03278688524590164,0.35948198234996437,0.395075937315906,23.672276903777533
Cotoneaster lucidus,103,55.3316805556,282.3940596731518,51.00476272374,57.57077904699,6.566016323249997,101.17929014127266,1112.4772760740746,1011.2979859328019,-170.82150608500532,-282.4404067304415,-75.62477797550474,206.81562875493677,119,53.24371658323815,1.1194930128859681,115.18714635647073,3.812853643529266,55.2745611111,113.96485065847797,-0.39492185831342325,-7.788146904852466e-4,4,0.03278688524590164,0.048518591961866045,0.04893670732962494,6.758041624359032
Crataegus monogyna,278,50.8067788889,74.70591530986174,40.114733672205,54.89173173864,14.776998066434999,4.073250540510216,826.8160480398793,822.7427974993691,-649.0454828366483,-816.3151724671234,-353.7571139852522,462.55805848187117,85,53.24371658323815,1.1194930128859681,110.121550556604,-25.121550556604006,50.8252777778,80.43363021975517,-0.11485964843303227,0.020043106436121783,4,0.03278688524590164,5.263417842661838e-4,0.028676316943734875,29.884038196244557
Crataegus sanguinea,80,55.975911271499996,181.1658634474249,51.17983207707,58.25045242497,7.070620347899997,68.13609277776621,639.6996064514616,571.5635136736954,27.4511923888721,-220.27955604085247,134.9983289607286,355.27788500158107,123.5,53.24371658323815,1.1194930128859681,115.9083581416073,7.5916418583927054,55.819113043,126.82968075330498,-0.6363852856820292,0.00591562125070603,4,0.03278688524590164,0.03902225359099485,0.047374541120406254,9.814637483579927
Daphne mezereum,4993,49.1275340556,317.2971466537545,43.96936831628,61.17555298506,17.206184668780004,32.76775054481868,1780.5051575192433,1747.7374069744246,-436.37705703030144,-595.9529058365856,-46.91057068476033,549.0423351518252,104,53.24371658323815,1.1194930128859681,108.2416476987998,-4.241647698799795,49.1275340556,90.60379123846874,1.1197207285055724,0.02545091353062987,4,0.03278688524590164,0.06172374367351503,0.23368288550570912,24.276258044520755
Dasiphora fruticosa,170,50.92658949115,1086.0042437492123,37.909603108300004,61.23519352347499,23.325590415174986,145.12235334026144,3004.617060823833,2859.494707483572,-202.70707244256675,-362.7342764558897,139.15938854064245,501.89366499653215,136.5,53.24371658323815,1.1194930128859681,110.25567768869254,26.244322311307457,50.92658949115,140.05767661133558,-0.36666142693771986,0.012862762986572572,4,0.03278688524590164,0.012113854477628012,0.18787821029938273,30.32144854574691
Dirca palustris,1468,43.48615378315,235.58205945374328,36.008048953184996,46.347978050180004,10.339929096995007,44.9544592911203,442.0415270385647,397.0870677474444,-69.98490869140377,-166.20533063557227,76.74682172685846,242.95215236243072,109,53.24371658323815,1.1194930128859681,101.92616190075928,7.073838099240717,43.4828133333,111.1302327715975,4.217952587922724,0.012033126252536075,4,0.03278688524590164,0.6885640858166546,0.6969920021092514,9.656003411410007
Elaeagnus angustifolia,169,44.65416544,656.0041126442276,36.77546705892,53.47142859854,16.69596153962,1.311092380059541,1795.9162904364,1794.6051980563404,-68.7495104260264,-371.2571899931646,83.00238885630824,454.25957884947286,118,53.24371658323815,1.1194930128859681,103.23374278957222,14.766257210427781,44.58791605335,113.97865537424457,0.7183086377895749,0.015550935388616982,4,0.03278688524590164,0.07783535733498048,0.3607758529227042,13.601491068523844
Elaeagnus umbellata,561,40.9865333333,186.02853845190785,37.1862716667,43.8012083333,6.614936666600002,5.329399900971154,429.73585938855604,424.40645948758487,-78.36597499803712,-188.0808863407743,-1.6946258008850341,186.38626053988926,95,53.24371658323815,1.1194930128859681,99.12785427228533,-4.127854272285333,40.9865333333,94.91382792790638,5.595405280891587,0.03667299247641667,4,0.03278688524590164,0.250461466239463,0.30353698577318644,19.730765568363775
